School,est,var,description,type
Howard B Stroud,195.3641963,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Judia Jackson Harris,86.41493874,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Oglethorpe,133.756444,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Timothy Rd.,74.27822335,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Whit Davis,81.77128915,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Whitehead Rd.,84.17962689,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Winterville,75.46174142,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,pct
Bettye Henderson Holston,87.23190129,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Barnett Shoals,44.99585062,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Barrow,88.05023627,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Johnnie Lay Burks,116.3910519,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Choice Zone-East,548.0359865,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Choice Zone-West,266.9565217,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Cleveland Road,68.84939858,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Fowler Drive,540.4404858,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Gaines,48.96570307,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Howard B Stroud,116.4487046,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Judia Jackson Harris,162.5114675,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Oglethorpe,116.1135548,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Timothy Rd.,105.2276305,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Whit Davis,43.57366701,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Whitehead Rd.,107.2092277,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Winterville,76.26342162,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,pct
Bettye Henderson Holston,207.7104716,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Barnett Shoals,3038.480203,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Barrow,328.6265715,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Johnnie Lay Burks,190.4481888,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Choice Zone-East,420.1435279,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Choice Zone-West,1937.153854,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Cleveland Road,116.2279337,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Fowler Drive,155.3321069,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Gaines,140.3398067,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Howard B Stroud,259.2773891,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Judia Jackson Harris,110.2478502,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Oglethorpe,214.9270066,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Timothy Rd.,124.4280349,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Whit Davis,114.225697,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Whitehead Rd.,126.5651454,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Winterville,114.1160012,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,count
Bettye Henderson Holston,144.9257774,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Barnett Shoals,4374.416421,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Barrow,247.4393817,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Johnnie Lay Burks,124.0972651,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Choice Zone-East,625.7084698,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Choice Zone-West,5093.463162,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Cleveland Road,92.44827793,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Fowler Drive,219.7622959,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Gaines,169.4591587,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Howard B Stroud,428.6992609,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Judia Jackson Harris,100.5079813,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Oglethorpe,318.6669041,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Timothy Rd.,89.44077356,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Whit Davis,125.2958742,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Whitehead Rd.,141.7981215,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Winterville,94.29611264,avg_change_2000to2020_p,Percent Change in Average Building Price per Sq Ft 2000-2020,pct
Bettye Henderson Holston,170.477976,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Barnett Shoals,3411.961026,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Barrow,100.3596281,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Johnnie Lay Burks,91.66975894,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Choice Zone-East,1268.431358,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Choice Zone-West,4405.451983,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Cleveland Road,83.52874443,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Fowler Drive,381.6129644,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Gaines,71.98264672,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Howard B Stroud,242.5251485,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Judia Jackson Harris,99.93696754,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Oglethorpe,262.3471365,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Timothy Rd.,117.4201068,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Whit Davis,44.98222637,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Whitehead Rd.,131.2327794,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Winterville,84.63933221,avg_change_2010to2020_p,Percent Change in Average Building Price per Sq Ft 2010-2020,pct
Bettye Henderson Holston,77,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Barnett Shoals,68,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Barrow,64,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Johnnie Lay Burks,82,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Choice Zone-East,70,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Choice Zone-West,80,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Cleveland Road,77,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Fowler Drive,66,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Gaines,63,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Howard B Stroud,51,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Judia Jackson Harris,78,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Oglethorpe,80,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Timothy Rd.,84,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Whit Davis,85,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Whitehead Rd.,86,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Winterville,85,par_own_acc_p,Percent of Parcels Owned in Athens,pct
Bettye Henderson Holston,81,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Barnett Shoals,81,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Barrow,64,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Johnnie Lay Burks,78,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Choice Zone-East,74,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Choice Zone-West,77,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Cleveland Road,60,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Fowler Drive,65,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Gaines,73,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Howard B Stroud,56,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Judia Jackson Harris,63,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Oglethorpe,81,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Timothy Rd.,71,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Whit Davis,79,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Whitehead Rd.,76,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Winterville,69,land_own_acc_p,Percent of Land in Sq Ft Owned in Athens,pct
Bettye Henderson Holston,92,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Barnett Shoals,93,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Barrow,93,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Johnnie Lay Burks,95,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Choice Zone-East,91,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Choice Zone-West,93,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Cleveland Road,95,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Fowler Drive,83,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Gaines,92,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Howard B Stroud,86,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Judia Jackson Harris,96,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Oglethorpe,95,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Timothy Rd.,96,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Whit Davis,96,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Whitehead Rd.,98,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Winterville,96,par_own_ga_p,Percent of Parcels Owned in Georgia,pct
Bettye Henderson Holston,88,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Barnett Shoals,97,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Barrow,96,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Johnnie Lay Burks,94,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Choice Zone-East,89,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Choice Zone-West,89,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Cleveland Road,89,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Fowler Drive,87,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Gaines,90,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Howard B Stroud,91,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Judia Jackson Harris,91,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Oglethorpe,98,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Timothy Rd.,91,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Whit Davis,99,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Whitehead Rd.,97,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Winterville,89,land_own_ga_p,Percent of Land in Sq Ft Owned in Georgia,pct
Bettye Henderson Holston,9,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Barnett Shoals,11,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Barrow,17,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Johnnie Lay Burks,6,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Choice Zone-East,12,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Choice Zone-West,6,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Cleveland Road,11,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Fowler Drive,8,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Gaines,15,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Howard B Stroud,20,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Judia Jackson Harris,5,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Oglethorpe,7,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Timothy Rd.,5,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Whit Davis,6,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Whitehead Rd.,5,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Winterville,3,par_own_atl_p,Percent of Parcels Owned in Metro Atlanta,pct
Bettye Henderson Holston,4,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Barnett Shoals,9,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Barrow,27,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Johnnie Lay Burks,10,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Choice Zone-East,8,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Choice Zone-West,10,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Cleveland Road,22,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Fowler Drive,12,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Gaines,11,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Howard B Stroud,31,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Judia Jackson Harris,14,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Oglethorpe,5,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Timothy Rd.,13,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Whit Davis,12,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Whitehead Rd.,13,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Winterville,12,land_own_atl_p,Percent of Land in Sq Ft Owned in Metro Atlanta,pct
Bettye Henderson Holston,524388.5332,avg_appr_val,Average Appraisal Value,count
Bettye Henderson Holston,164045,med_appr_val,Median Appraisal Value,count
Bettye Henderson Holston,39.42687788,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Bettye Henderson Holston,18.31044441,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Barnett Shoals,421056.8722,avg_appr_val,Average Appraisal Value,count
Barnett Shoals,206433,med_appr_val,Median Appraisal Value,count
Barnett Shoals,74.15118831,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Barnett Shoals,14.22528805,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Barrow,1211075.695,avg_appr_val,Average Appraisal Value,count
Barrow,369092,med_appr_val,Median Appraisal Value,count
Barrow,129.4521257,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Barrow,46.04340808,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Johnnie Lay Burks,678422.1294,avg_appr_val,Average Appraisal Value,count
Johnnie Lay Burks,273935,med_appr_val,Median Appraisal Value,count
Johnnie Lay Burks,44.42540491,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Johnnie Lay Burks,28.30751653,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Choice Zone-East,291985.1718,avg_appr_val,Average Appraisal Value,count
Choice Zone-East,193004,med_appr_val,Median Appraisal Value,count
Choice Zone-East,25.662321,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Choice Zone-East,10.91850755,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Choice Zone-West,217268.8025,avg_appr_val,Average Appraisal Value,count
Choice Zone-West,179304,med_appr_val,Median Appraisal Value,count
Choice Zone-West,14.55808363,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Choice Zone-West,9.18733588,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Cleveland Road,346831.005,avg_appr_val,Average Appraisal Value,count
Cleveland Road,213395,med_appr_val,Median Appraisal Value,count
Cleveland Road,29.58915138,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Cleveland Road,9.35382255,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Fowler Drive,275303.0662,avg_appr_val,Average Appraisal Value,count
Fowler Drive,131469,med_appr_val,Median Appraisal Value,count
Fowler Drive,4.193771693,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Fowler Drive,3.599133383,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Gaines,246300.6484,avg_appr_val,Average Appraisal Value,count
Gaines,132402.5,med_appr_val,Median Appraisal Value,count
Gaines,78.33638828,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Gaines,17.95241265,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Howard B Stroud,323356.805,avg_appr_val,Average Appraisal Value,count
Howard B Stroud,152255,med_appr_val,Median Appraisal Value,count
Howard B Stroud,45.86229813,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Howard B Stroud,25.62249278,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Judia Jackson Harris,185248.1931,avg_appr_val,Average Appraisal Value,count
Judia Jackson Harris,94770,med_appr_val,Median Appraisal Value,count
Judia Jackson Harris,3.004105873,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Judia Jackson Harris,1.597684714,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Oglethorpe,294276.8465,avg_appr_val,Average Appraisal Value,count
Oglethorpe,220709.5,med_appr_val,Median Appraisal Value,count
Oglethorpe,24.94467401,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Oglethorpe,10.50182446,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Timothy Rd.,481478.1524,avg_appr_val,Average Appraisal Value,count
Timothy Rd.,282522.5,med_appr_val,Median Appraisal Value,count
Timothy Rd.,47.25154026,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Timothy Rd.,12.84004745,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Whit Davis,267054.2908,avg_appr_val,Average Appraisal Value,count
Whit Davis,258290.5,med_appr_val,Median Appraisal Value,count
Whit Davis,8.311111023,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Whit Davis,7.408412549,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Whitehead Rd.,245429.7838,avg_appr_val,Average Appraisal Value,count
Whitehead Rd.,208512,med_appr_val,Median Appraisal Value,count
Whitehead Rd.,15.59696167,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Whitehead Rd.,8.263189476,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Winterville,330829.2226,avg_appr_val,Average Appraisal Value,count
Winterville,178241.5,med_appr_val,Median Appraisal Value,count
Winterville,5.697942776,avg_appr_ppsqft,Average Apprasial Value per Square Foot,count
Winterville,4.711446188,med_appr_ppsqft,Median Apprasial Value per Square Foot,count
Bettye Henderson Holston,0.433734734,CONVENIENCE STORES,Third Closest Convenience Store,count
Bettye Henderson Holston,0.709889111,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Bettye Henderson Holston,0.524321153,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Bettye Henderson Holston,0.926618023,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Bettye Henderson Holston,0.958006966,OFFICES OF DENTISTS,Third Closest Dentist,count
Bettye Henderson Holston,0.765399229,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Bettye Henderson Holston,0.526803092,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Bettye Henderson Holston,1.659399949,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Bettye Henderson Holston,0.341116364,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Bettye Henderson Holston,0.809863609,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Bettye Henderson Holston,0.649300765,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Bettye Henderson Holston,0.698283895,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Bettye Henderson Holston,0.608121048,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Barnett Shoals,0.902678914,CONVENIENCE STORES,Third Closest Convenience Store,count
Barnett Shoals,1.362115367,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Barnett Shoals,1.455540615,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Barnett Shoals,1.090566332,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Barnett Shoals,2.473884525,OFFICES OF DENTISTS,Third Closest Dentist,count
Barnett Shoals,2.186832687,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Barnett Shoals,1.727216868,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Barnett Shoals,1.535996779,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Barnett Shoals,0.697355359,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Barnett Shoals,1.271329796,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Barnett Shoals,1.833348954,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Barnett Shoals,3.451564133,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Barnett Shoals,2.152057226,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Barrow,0.538536761,CONVENIENCE STORES,Third Closest Convenience Store,count
Barrow,0.986397245,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),Third Closest Supermarket and Grocery Store,count
Barrow,1.117462937,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),Third Closest Physicians Office,count
Barrow,0.632150725,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),Third Closest Mental Health Practitioner or Outpatient Center,count
Barrow,1.025365572,OFFICES OF DENTISTS,Third Closest Dentist,count
Barrow,1.226798827,PHARMACIES AND DRUG RETAILERS,Third Closest Pharmacy and Drug Retailer,count
Barrow,0.774553503,FITNESS AND RECREATIONAL SPORTS CENTERS,Third Closest Fitness and Recreactional Center,count
Barrow,1.956391546,CHILD DAY CARE SERVICES,Third Closest Child Day Care Services,count
Barrow,0.325710006,REAL ESTATE PROPERTY MANAGERS,Third Closest Real Estate Property Manager,count
Barrow,0.668242118,OFFICES OF LAWYERS,Third Closest Office of Lawyers,count
Barrow,1.172838588,NON-PROFIT ORGANIZATION,Third Closest Non-Profit Organization,count
Barrow,1.893794001,NEW AND USED CAR DEALERS,Third Closest New and Used Car Dealer,count
Barrow,1.225438888,AUTO REPAIR AND MAINTENANCE,Third Closest Autmotive Repair and Maintenance,count
Johnnie Lay Burks,0.450553248,CONVENIENCE STORES,Third Closest Convenience Store,count
