SchoolID,School,var,est,moe,type,description
7,Fowler Drive,loan,9.982649877,[0.18264 - 19.7826],pct,Percentage who took out a high interest loan in the last 90 days
8,Gaines,loan,11.09813159,[4.43414 - 17.7624],pct,Percentage who took out a high interest loan in the last 90 days
9,Howard B Stroud,loan,7.791836214,[2.69588 - 12.8878],pct,Percentage who took out a high interest loan in the last 90 days
10,Judia Jackson Harris,loan,14.13502958,[-1.5448 - 29.8158],pct,Percentage who took out a high interest loan in the last 90 days
11,Choice Zone-East,loan,7.559959912,[1.48391 - 13.6351],pct,Percentage who took out a high interest loan in the last 90 days
12,Oglethorpe,loan,5.953760462,[1.44573 - 10.4613],pct,Percentage who took out a high interest loan in the last 90 days
13,Timothy Rd.,loan,5.167111262,[1.83511 - 8.49911],pct,Percentage who took out a high interest loan in the last 90 days
14,Whit Davis,loan,1.998424389,[0.62642 - 3.37042],pct,Percentage who took out a high interest loan in the last 90 days
15,Whitehead Rd.,loan,8.258706927,[2.18270 - 14.3347],pct,Percentage who took out a high interest loan in the last 90 days
16,Winterville,loan,13.64765048,[-0.6603 - 27.9553],pct,Percentage who took out a high interest loan in the last 90 days
0,School Zone not specified by respondent,loan,13.62017061,[6.76015 - 20.4805],pct,Percentage who took out a high interest loan in the last 90 days
1,Bettye Henderson Holston,internet_none,0,[0],pct,Percentage without Internet Access at home
2,Barnett Shoals,internet_none,0.103715083,[-0.0922 - 0.29971],pct,Percentage without Internet Access at home
3,Barrow,internet_none,0.33268033,[0.13661 - 0.52861],pct,Percentage without Internet Access at home
4,Choice Zone-West,internet_none,0.973746758,[-0.2026 - 2.14976],pct,Percentage without Internet Access at home
5,Johnnie Lay Burks,internet_none,0.25178547,[-0.1402 - 0.64372],pct,Percentage without Internet Access at home
6,Cleveland Road,internet_none,4.353873863,[-3.8781 - 12.5858],pct,Percentage without Internet Access at home
7,Fowler Drive,internet_none,1.273115425,[-0.2948 - 2.84111],pct,Percentage without Internet Access at home
8,Gaines,internet_none,0.445085529,[-0.1423 - 1.03303],pct,Percentage without Internet Access at home
9,Howard B Stroud,internet_none,4.190727895,[-0.7098 - 9.09078],pct,Percentage without Internet Access at home
10,Judia Jackson Harris,internet_none,0.782878354,[-0.7858 - 2.35088],pct,Percentage without Internet Access at home
11,Choice Zone-East,internet_none,2.169716765,[-1.7502 - 6.08972],pct,Percentage without Internet Access at home
12,Oglethorpe,internet_none,0.171177311,[-0.2202 - 0.56312],pct,Percentage without Internet Access at home
13,Timothy Rd.,internet_none,0,[0],pct,Percentage without Internet Access at home
14,Whit Davis,internet_none,0.258404495,[-0.3295 - 0.84640],pct,Percentage without Internet Access at home
15,Whitehead Rd.,internet_none,0.03499921,[0.03499 - 0.03499],pct,Percentage without Internet Access at home
16,Winterville,internet_none,1.10135625,[-1.0541 - 3.25731],pct,Percentage without Internet Access at home
0,School Zone not specified by respondent,internet_none,6.59635828,[0.12833 - 13.0643],pct,Percentage without Internet Access at home
1,Bettye Henderson Holston,welfarebenefit,49.28827767,[36.9403 - 61.6363],pct,Percentage receiving welfare benefits
2,Barnett Shoals,welfarebenefit,18.4031641,[11.7391 - 25.0671],pct,Percentage receiving welfare benefits
3,Barrow,welfarebenefit,16.20172438,[10.9097 - 21.4937],pct,Percentage receiving welfare benefits
4,Choice Zone-West,welfarebenefit,50.6916269,[38.5392 - 62.8432],pct,Percentage receiving welfare benefits
5,Johnnie Lay Burks,welfarebenefit,14.78295581,[8.70691 - 20.8581],pct,Percentage receiving welfare benefits
6,Cleveland Road,welfarebenefit,34.995337,[21.2753 - 48.7153],pct,Percentage receiving welfare benefits
7,Fowler Drive,welfarebenefit,40.09229889,[26.3722 - 53.8122],pct,Percentage receiving welfare benefits
8,Gaines,welfarebenefit,36.42547174,[25.8414 - 47.0094],pct,Percentage receiving welfare benefits
9,Howard B Stroud,welfarebenefit,44.43878815,[33.2668 - 55.6108],pct,Percentage receiving welfare benefits
10,Judia Jackson Harris,welfarebenefit,31.28649459,[14.6265 - 47.9465],pct,Percentage receiving welfare benefits
11,Choice Zone-East,welfarebenefit,45.07445204,[33.9027 - 56.2467],pct,Percentage receiving welfare benefits
12,Oglethorpe,welfarebenefit,23.62345795,[14.9994 - 32.2474],pct,Percentage receiving welfare benefits
13,Timothy Rd.,welfarebenefit,20.45989065,[13.9918 - 26.9278],pct,Percentage receiving welfare benefits
14,Whit Davis,welfarebenefit,18.74326939,[11.4912 - 25.9952],pct,Percentage receiving welfare benefits
15,Whitehead Rd.,welfarebenefit,22.88136235,[14.0613 - 31.7013],pct,Percentage receiving welfare benefits
16,Winterville,welfarebenefit,28.07069357,[11.9982 - 44.1422],pct,Percentage receiving welfare benefits
0,School Zone not specified by respondent,welfarebenefit,43.67979802,[33.8795 - 53.4795],pct,Percentage receiving welfare benefits
1,Bettye Henderson Holston,internet_none,0,[0],pct,Percentage without Internet Access at home
2,Barnett Shoals,internet_none,0.10371508,[-0.0922 - 0.29971],pct,Percentage without Internet Access at home
3,Barrow,internet_none,0.33268033,[-0.0592 - 0.72462],pct,Percentage without Internet Access at home
4,Choice Zone-West,internet_none,0.97374676,[-0.2026 - 2.14976],pct,Percentage without Internet Access at home
5,Johnnie Lay Burks,internet_none,0.25178547,[-0.1402 - 0.64372],pct,Percentage without Internet Access at home
6,Cleveland Road,internet_none,4.35387386,[-3.8781 - 12.5858],pct,Percentage without Internet Access at home
7,Fowler Drive,internet_none,1.27311542,[-0.2948 - 2.84111],pct,Percentage without Internet Access at home
8,Gaines,internet_none,0.44508553,[-0.1423 - 1.03303],pct,Percentage without Internet Access at home
9,Howard B Stroud,internet_none,4.19072789,[-0.7098 - 9.09078],pct,Percentage without Internet Access at home
10,Judia Jackson Harris,internet_none,0.78287835,[-0.7858 - 2.35088],pct,Percentage without Internet Access at home
11,Choice Zone-East,internet_none,2.16971676,[-1.7502 - 6.08972],pct,Percentage without Internet Access at home
12,Oglethorpe,internet_none,0.17117731,[-0.2202 - 0.56312],pct,Percentage without Internet Access at home
13,Timothy Rd.,internet_none,0,[0],pct,Percentage without Internet Access at home
14,Whit Davis,internet_none,0.25840449,[-0.3295 - 0.84640],pct,Percentage without Internet Access at home
15,Whitehead Rd.,internet_none,0.03499921,[0.03499 - 0.03499],pct,Percentage without Internet Access at home
16,Winterville,internet_none,1.10135625,[-1.0541 - 3.25731],pct,Percentage without Internet Access at home
0,School Zone not specified by respondent,internet_none,6.59635828,[0.12833 - 13.0643],pct,Percentage receiving SNAP
1,Bettye Henderson Holston,snap,30.28073206,[19.5005 - 41.0605],pct,Percentage receiving SNAP
2,Barnett Shoals,snap,4.255776784,[1.70777 - 6.80377],pct,Percentage receiving SNAP
3,Barrow,snap,3.585517472,[2.40956 - 4.76156],pct,Percentage receiving SNAP
4,Choice Zone-West,snap,29.9723173,[18.8007 - 41.1447],pct,Percentage receiving SNAP
5,Johnnie Lay Burks,snap,6.032638364,[1.72062 - 10.3442],pct,Percentage receiving SNAP
6,Cleveland Road,snap,15.77212538,[4.99212 - 26.5521],pct,Percentage receiving SNAP
7,Fowler Drive,snap,25.92565503,[13.1856 - 38.6656],pct,Percentage receiving SNAP
8,Gaines,snap,25.45522763,[16.4396 - 34.4716],pct,Percentage receiving SNAP
9,Howard B Stroud,snap,24.55625399,[16.1288 - 32.9848],pct,Percentage receiving SNAP
10,Judia Jackson Harris,snap,11.90048078,[4.25649 - 19.5449],pct,Percentage receiving SNAP
11,Choice Zone-East,snap,24.69105528,[15.0879 - 34.2959],pct,Percentage receiving SNAP
12,Oglethorpe,snap,13.19183168,[5.93987 - 20.4437],pct,Percentage receiving SNAP
13,Timothy Rd.,snap,6.644548751,[2.72454 - 10.5645],pct,Percentage receiving SNAP
14,Whit Davis,snap,10.53520212,[5.04720 - 16.0232],pct,Percentage receiving SNAP
15,Whitehead Rd.,snap,10.66068239,[3.99668 - 17.3246],pct,Percentage receiving SNAP
16,Winterville,snap,18.19796201,[6.63399 - 29.7619],pct,Percentage receiving SNAP
0,School Zone not specified by respondent,snap,26.78928471,[17.7736 - 35.8056],pct,Percentage receiving SNAP
1,Bettye Henderson Holston,ssdi,12.37133531,[3.35536 - 21.3876],pct,Percentage on SSDI
2,Barnett Shoals,ssdi,0.622290497,[0.03429 - 1.21029],pct,Percentage on SSDI
3,Barrow,ssdi,2.524369683,[0.36831 - 4.68031],pct,Percentage on SSDI
4,Choice Zone-West,ssdi,5.211234776,[-1.6485 - 12.0715],pct,Percentage on SSDI
5,Johnnie Lay Burks,ssdi,1.121739864,[0.33774 - 1.90574],pct,Percentage on SSDI
6,Cleveland Road,ssdi,1.298499667,[-0.0735 - 2.67049],pct,Percentage on SSDI
7,Fowler Drive,ssdi,1.981743301,[0.41374 - 3.54974],pct,Percentage on SSDI
8,Gaines,ssdi,6.414538174,[0.73059 - 12.0989],pct,Percentage on SSDI
9,Howard B Stroud,ssdi,4.115014797,[-0.0008 - 8.23108],pct,Percentage on SSDI
10,Judia Jackson Harris,ssdi,3.131513415,[-0.0046 - 6.26756],pct,Percentage on SSDI
11,Choice Zone-East,ssdi,3.377654848,[-0.5422 - 7.29762],pct,Percentage on SSDI
12,Oglethorpe,ssdi,1.966493773,[-0.5813 - 4.51443],pct,Percentage on SSDI
13,Timothy Rd.,ssdi,3.938554086,[0.41055 - 7.46655],pct,Percentage on SSDI
14,Whit Davis,ssdi,0.946810529,[0.16281 - 1.73081],pct,Percentage on SSDI
15,Whitehead Rd.,ssdi,3.352756727,[-0.9592 - 7.66475],pct,Percentage on SSDI
16,Winterville,ssdi,1.86147922,[-0.6863 - 4.40943],pct,Percentage on SSDI
0,School Zone not specified by respondent,ssdi,11.55859604,[3.71854 - 19.3984],pct,Percentage on SSDI
1,Bettye Henderson Holston,ssi,8.990017913,[1.34609 - 16.6349],pct,Percentage on SSI
2,Barnett Shoals,ssi,4.633012255,[0.51701 - 8.74901],pct,Percentage on SSI
3,Barrow,ssi,3.401498845,[0.26546 - 6.53746],pct,Percentage on SSI
4,Choice Zone-West,ssi,1.298329011,[-0.0737 - 2.67037],pct,Percentage on SSI
5,Johnnie Lay Burks,ssi,0.222728576,[-0.1692 - 0.61472],pct,Percentage on SSI
6,Cleveland Road,ssi,10.50474052,[0.70474 - 20.3047],pct,Percentage on SSI
7,Fowler Drive,ssi,2.312033851,[0.54803 - 4.07603],pct,Percentage on SSI
8,Gaines,ssi,2.347723218,[0.77978 - 3.91578],pct,Percentage on SSI
9,Howard B Stroud,ssi,8.475267468,[2.20328 - 14.7478],pct,Percentage on SSI
10,Judia Jackson Harris,ssi,3.099018308,[-0.0366 - 6.23506],pct,Percentage on SSI
11,Choice Zone-East,ssi,3.632423884,[0.49646 - 6.76846],pct,Percentage on SSI
12,Oglethorpe,ssi,1.452961839,[-1.0953 - 4.00093],pct,Percentage on SSI
13,Timothy Rd.,ssi,2.712617034,[0.16461 - 5.26061],pct,Percentage on SSI
14,Whit Davis,ssi,5.821694455,[1.50969 - 10.1336],pct,Percentage on SSI
15,Whitehead Rd.,ssi,0.658515333,[0.07051 - 1.24651],pct,Percentage on SSI
16,Winterville,ssi,1.196080346,[-0.9591 - 3.35201],pct,Percentage on SSI
0,School Zone not specified by respondent,ssi,11.82396791,[3.98394 - 19.6634],pct,Percentage on SSI
1,Bettye Henderson Holston,tanf,0.531917629,[-0.2524 - 1.31594],pct,Percentage receiving TANF
2,Barnett Shoals,tanf,0,[0],pct,Percentage receiving TANF
3,Barrow,tanf,0.342192433,[-0.0492 - 0.73412],pct,Percentage receiving TANF
4,Choice Zone-West,tanf,0.649164505,[-0.3305 - 1.62915],pct,Percentage receiving TANF
5,Johnnie Lay Burks,tanf,1.629311195,[-1.1144 - 4.37334],pct,Percentage receiving TANF
6,Cleveland Road,tanf,0.592338821,[-0.1916 - 1.37633],pct,Percentage receiving TANF
7,Fowler Drive,tanf,0.99087165,[-0.1851 - 2.16687],pct,Percentage receiving TANF
8,Gaines,tanf,0.813296773,[-0.1665 - 1.79325],pct,Percentage receiving TANF
9,Howard B Stroud,tanf,1.4374591,[-1.3068 - 4.18148],pct,Percentage receiving TANF
10,Judia Jackson Harris,tanf,0,[0],pct,Percentage receiving TANF
11,Choice Zone-East,tanf,0,[0],pct,Percentage receiving TANF
12,Oglethorpe,tanf,2.905923678,[-0.8189 - 6.62999],pct,Percentage receiving TANF
13,Timothy Rd.,tanf,1.050781207,[-0.9092 - 3.01078],pct,Percentage receiving TANF
14,Whit Davis,tanf,0.241199785,[-0.1508 - 0.63319],pct,Percentage receiving TANF
15,Whitehead Rd.,tanf,1.820005587,[-1.7079 - 5.34800],pct,Percentage receiving TANF
16,Winterville,tanf,0.047362048,[-0.1481 - 0.24331],pct,Percentage receiving TANF
0,School Zone not specified by respondent,tanf,0.843896129,[0.05984 - 1.62784],pct,Percentage receiving TANF
1,Bettye Henderson Holston,wic,3.956214519,[-0.1591 - 8.07221],pct,Percentage receiving WIC
2,Barnett Shoals,wic,0.77114922,[0.18314 - 1.35914],pct,Percentage receiving WIC
3,Barrow,wic,1.314812748,[-0.4499 - 3.07889],pct,Percentage receiving WIC
4,Choice Zone-West,wic,10.59520029,[1.97124 - 19.2194],pct,Percentage receiving WIC
5,Johnnie Lay Burks,wic,1.156731493,[-0.4118 - 2.72478],pct,Percentage receiving WIC
6,Cleveland Road,wic,2.149374178,[0.38537 - 3.91337],pct,Percentage receiving WIC
7,Fowler Drive,wic,10.62954136,[2.98554 - 18.2735],pct,Percentage receiving WIC
8,Gaines,wic,7.64595937,[2.54996 - 12.7416],pct,Percentage receiving WIC
9,Howard B Stroud,wic,7.687887161,[2.00388 - 13.3718],pct,Percentage receiving WIC
10,Judia Jackson Harris,wic,1.565756708,[-0.5901 - 3.72171],pct,Percentage receiving WIC
11,Choice Zone-East,wic,7.845136071,[1.37713 - 14.3133],pct,Percentage receiving WIC
12,Oglethorpe,wic,0.987757467,[0.00775 - 1.96775],pct,Percentage receiving WIC
13,Timothy Rd.,wic,4.379700066,[0.85170 - 7.90770],pct,Percentage receiving WIC
14,Whit Davis,wic,4.158425914,[0.23842 - 8.07842],pct,Percentage receiving WIC
15,Whitehead Rd.,wic,0.823144167,[0.03914 - 1.60714],pct,Percentage receiving WIC
16,Winterville,wic,0.76012297,[-0.4156 - 1.93616],pct,Percentage receiving WIC
0,School Zone not specified by respondent,wic,3.271327927,[1.31131 - 5.23131],pct,Percentage receiving WIC
1,Bettye Henderson Holston,caps,1.339197189,[0.16316 - 2.51516],pct,Percentage receiving CAPS
2,Barnett Shoals,caps,0.178144445,[-0.2138 - 0.57014],pct,Percentage receiving CAPS
3,Barrow,caps,0.629610301,[0.04163 - 1.21763],pct,Percentage receiving CAPS
4,Choice Zone-West,caps,0,[0],pct,Percentage receiving CAPS
5,Johnnie Lay Burks,caps,0.319829931,[-0.0722 - 0.71182],pct,Percentage receiving CAPS
6,Cleveland Road,caps,1.842200197,[-1.2937 - 4.97820],pct,Percentage receiving CAPS
7,Fowler Drive,caps,0.33029055,[-0.2577 - 0.91829],pct,Percentage receiving CAPS
8,Gaines,caps,3.415647906,[-0.1128 - 6.94368],pct,Percentage receiving CAPS
9,Howard B Stroud,caps,0.658139472,[-0.3218 - 1.63818],pct,Percentage receiving CAPS
10,Judia Jackson Harris,caps,0.782878354,[-0.7858 - 2.35088],pct,Percentage receiving CAPS
11,Choice Zone-East,caps,1.156004046,[-0.0196 - 2.33206],pct,Percentage receiving CAPS
12,Oglethorpe,caps,1.452961839,[-1.0953 - 4.00093],pct,Percentage receiving CAPS
13,Timothy Rd.,caps,0.448045463,[0.05604 - 0.84004],pct,Percentage receiving CAPS
14,Whit Davis,caps,0.146793925,[-0.2452 - 0.53879],pct,Percentage receiving CAPS
15,Whitehead Rd.,caps,0.329257667,[-0.0627 - 0.72125],pct,Percentage receiving CAPS
16,Winterville,caps,1.066914031,[-0.8931 - 3.02691],pct,Percentage receiving CAPS
0,School Zone not specified by respondent,caps,1.917447207,[0.54547 - 3.28947],pct,Percentage receiving CAPS
1,Bettye Henderson Holston,medicalbills,18.98785939,[8.40384 - 29.5714],pct,Percentage that had difficulty paying medical bills in the last 90 days
2,Barnett Shoals,medicalbills,14.91703415,[8.44903 - 21.3850],pct,Percentage that had difficulty paying medical bills in the last 90 days
3,Barrow,medicalbills,7.363178165,[3.83518 - 10.8918],pct,Percentage that had difficulty paying medical bills in the last 90 days
4,Choice Zone-West,medicalbills,15.86117424,[8.02114 - 23.7014],pct,Percentage that had difficulty paying medical bills in the last 90 days
5,Johnnie Lay Burks,medicalbills,10.02567281,[5.12565 - 14.9255],pct,Percentage that had difficulty paying medical bills in the last 90 days
6,Cleveland Road,medicalbills,13.40477113,[4.38877 - 22.4207],pct,Percentage that had difficulty paying medical bills in the last 90 days
7,Fowler Drive,medicalbills,16.67851755,[6.48651 - 26.8705],pct,Percentage that had difficulty paying medical bills in the last 90 days
8,Gaines,medicalbills,18.72957072,[9.32158 - 28.1378],pct,Percentage that had difficulty paying medical bills in the last 90 days
9,Howard B Stroud,medicalbills,12.43420765,[5.18228 - 19.6868],pct,Percentage that had difficulty paying medical bills in the last 90 days
10,Judia Jackson Harris,medicalbills,21.0103096,[5.13431 - 36.8861],pct,Percentage that had difficulty paying medical bills in the last 90 days
11,Choice Zone-East,medicalbills,18.56438755,[9.74435 - 27.3845],pct,Percentage that had difficulty paying medical bills in the last 90 days
12,Oglethorpe,medicalbills,14.64292033,[6.80294 - 22.4824],pct,Percentage that had difficulty paying medical bills in the last 90 days
13,Timothy Rd.,medicalbills,11.01717104,[5.92117 - 16.1131],pct,Percentage that had difficulty paying medical bills in the last 90 days
14,Whit Davis,medicalbills,17.01857292,[8.78657 - 25.2505],pct,Percentage that had difficulty paying medical bills in the last 90 days
15,Whitehead Rd.,medicalbills,17.87644774,[10.0364 - 25.7164],pct,Percentage that had difficulty paying medical bills in the last 90 days
16,Winterville,medicalbills,11.46295832,[-0.6892 - 23.6142],pct,Percentage that had difficulty paying medical bills in the last 90 days
0,School Zone not specified by respondent,medicalbills,20.49504199,[11.4796 - 29.5116],pct,Percentage that had difficulty paying medical bills in the last 90 days
1,Bettye Henderson Holston,utilitybills,33.09670538,[21.7288 - 44.4648],pct,Percentage that had difficulty paying utility bills in the last 90 days
2,Barnett Shoals,utilitybills,14.05628355,[8.17628 - 19.9362],pct,Percentage that had difficulty paying utility bills in the last 90 days
3,Barrow,utilitybills,12.46590179,[7.56595 - 17.3655],pct,Percentage that had difficulty paying utility bills in the last 90 days
4,Choice Zone-West,utilitybills,32.32163367,[21.3456 - 43.2976],pct,Percentage that had difficulty paying utility bills in the last 90 days
5,Johnnie Lay Burks,utilitybills,12.05282889,[6.36889 - 17.7369],pct,Percentage that had difficulty paying utility bills in the last 90 days
6,Cleveland Road,utilitybills,26.79961249,[14.2556 - 39.3436],pct,Percentage that had difficulty paying utility bills in the last 90 days
7,Fowler Drive,utilitybills,26.65201686,[14.6960 - 38.6080],pct,Percentage that had difficulty paying utility bills in the last 90 days
8,Gaines,utilitybills,27.14153863,[17.3415 - 36.9415],pct,Percentage that had difficulty paying utility bills in the last 90 days
9,Howard B Stroud,utilitybills,29.78376782,[19.9838 - 39.5838],pct,Percentage that had difficulty paying utility bills in the last 90 days
10,Judia Jackson Harris,utilitybills,37.82190487,[19.0056 - 56.6376],pct,Percentage that had difficulty paying utility bills in the last 90 days
11,Choice Zone-East,utilitybills,41.94995058,[30.7777 - 53.1217],pct,Percentage that had difficulty paying utility bills in the last 90 days
12,Oglethorpe,utilitybills,19.03925551,[10.2195 - 27.8595],pct,Percentage that had difficulty paying utility bills in the last 90 days
13,Timothy Rd.,utilitybills,19.51729187,[13.2452 - 25.7892],pct,Percentage that had difficulty paying utility bills in the last 90 days
14,Whit Davis,utilitybills,16.9699106,[9.52191 - 24.4179],pct,Percentage that had difficulty paying utility bills in the last 90 days
15,Whitehead Rd.,utilitybills,25.64534511,[16.0413 - 35.2493],pct,Percentage that had difficulty paying utility bills in the last 90 days
16,Winterville,utilitybills,34.13215869,[14.53210 - 53.73210],pct,Percentage that had difficulty paying utility bills in the last 90 days
0,School Zone not specified by respondent,utilitybills,22.61025651,[15.1628 - 30.0588],pct,Percentage that had difficulty paying utility bills in the last 90 days
1,Bettye Henderson Holston,creditbills,19.35011714,[10.1387 - 28.5627],pct,Percentage that had difficulty paying credit card bills
2,Barnett Shoals,creditbills,21.78141147,[14.3334 - 29.2294],pct,Percentage that had difficulty paying credit card bills
3,Barrow,creditbills,15.30138316,[10.2056 - 20.3976],pct,Percentage that had difficulty paying credit card bills
4,Choice Zone-West,creditbills,27.6003034,[16.0369 - 39.1649],pct,Percentage that had difficulty paying credit card bills
5,Johnnie Lay Burks,creditbills,13.51895894,[8.42296 - 18.6146],pct,Percentage that had difficulty paying credit card bills
6,Cleveland Road,creditbills,8.492000937,[4.57200 - 12.4120],pct,Percentage that had difficulty paying credit card bills
7,Fowler Drive,creditbills,17.45830796,[6.48230 - 28.4343],pct,Percentage that had difficulty paying credit card bills
8,Gaines,creditbills,25.20917991,[15.0172 - 35.4012],pct,Percentage that had difficulty paying credit card bills
9,Howard B Stroud,creditbills,20.99502626,[11.9798 - 30.0118],pct,Percentage that had difficulty paying credit card bills
10,Judia Jackson Harris,creditbills,33.57958247,[14.5677 - 52.5917],pct,Percentage that had difficulty paying credit card bills
11,Choice Zone-East,creditbills,16.06315289,[8.02711 - 24.0991],pct,Percentage that had difficulty paying credit card bills
12,Oglethorpe,creditbills,25.62080712,[15.6241 - 35.6161],pct,Percentage that had difficulty paying credit card bills
13,Timothy Rd.,creditbills,25.00339221,[17.7513 - 32.2553],pct,Percentage that had difficulty paying credit card bills
